Inicio:             2015-11-17 17:54:08
Reading MNIST Dataset ...
Class		 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 Total
Training:	 5923	 6742	 5958	 6131	 5842	 5421	 5918	 6265	 5851	 5949	 60000
Testing:	 980	 1135	 1032	 1010	 982	 892	 958	 1028	 974	 1009	 10000
RN = [ 40 100 10 ]
Comienzo del entrenamiento...
Porcentaje de acierto (VAL)   93.32, 1 Epocas 
Porcentaje de acierto (VAL)   93.67, 2 Epocas 
Porcentaje de acierto (VAL)   95.02, 3 Epocas 
Porcentaje de acierto (VAL)   95.40, 4 Epocas 
Porcentaje de acierto (VAL)   95.73, 5 Epocas 
Porcentaje de acierto (VAL)   95.77, 6 Epocas 
Porcentaje de acierto (VAL)   95.90, 7 Epocas 
Porcentaje de acierto (VAL)   96.12, 8 Epocas 
Porcentaje de acierto (VAL)   95.72, 9 Epocas 
Porcentaje de acierto (VAL)   96.12, 10 Epocas 
Porcentaje de acierto (VAL)   95.88, 11 Epocas 
Porcentaje de acierto (VAL)   96.52, 12 Epocas 
Porcentaje de acierto (VAL)   96.40, 13 Epocas 
Porcentaje de acierto (VAL)   96.12, 14 Epocas 
Porcentaje de acierto (VAL)   95.98, 15 Epocas 
Porcentaje de acierto (VAL)   95.50, 16 Epocas 
Porcentaje de acierto (VAL)   96.22, 17 Epocas 
Porcentaje de acierto (VAL)   96.22, 18 Epocas 
Porcentaje de acierto (VAL)   96.08, 19 Epocas 
Porcentaje de acierto (VAL)   96.35, 20 Epocas 
[1|10]. Porcentaje de acierto (TRAIN) 97.66 
[1|10]. Porcentaje de acierto (TEST)  96.09 
Porcentaje de acierto (VAL)   90.83, 1 Epocas 
Porcentaje de acierto (VAL)   92.78, 2 Epocas 
Porcentaje de acierto (VAL)   92.76, 3 Epocas 
Porcentaje de acierto (VAL)   93.07, 4 Epocas 
Porcentaje de acierto (VAL)   93.72, 5 Epocas 
Porcentaje de acierto (VAL)   93.70, 6 Epocas 
Porcentaje de acierto (VAL)   94.26, 7 Epocas 
Porcentaje de acierto (VAL)   94.83, 8 Epocas 
Porcentaje de acierto (VAL)   94.37, 9 Epocas 
Porcentaje de acierto (VAL)   94.15, 10 Epocas 
Porcentaje de acierto (VAL)   95.33, 11 Epocas 
Porcentaje de acierto (VAL)   94.63, 12 Epocas 
Porcentaje de acierto (VAL)   94.43, 13 Epocas 
